Occupation,Total fatal injuries (number),Violence and other injuries by persons or animals(3),Transportation incidents(4),Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
"Nursing, psychiatric, and home health aides",32,–,–,–,5,–,–
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",32,–,–,–,5,–,–
Home health and personal care aides,22,–,–,–,–,–,–
Home health aides,16,–,–,–,–,–,–
Personal care aides,6,–,–,–,–,–,–
"Nursing assistants, orderlies, and psychiatric aides",10,–,–,–,–,–,–
Nursing assistants,10,–,–,–,–,–,–
Other healthcare support occupations,6,–,–,–,–,–,–
Protective service occupations,335,143,125,–,15,30,–
Supervisors of protective service workers,41,17,–,–,–,–,–
"Miscellaneous first-line supervisors, protective service workers",8,–,–,–,–,–,–
First-line supervisors of security workers,7,–,–,–,–,–,–
Law enforcement workers,–,66,–,–,–,–,–
"Bailiffs, correctional officers, and jailers",11,5,–,–,–,–,–
Correctional officers and jailers,11,5,–,–,–,–,–
Police officers,116,60,–,–,–,–,–
Police and sheriff's patrol officers,116,60,–,–,–,–,–
Other protective service workers,119,58,34,–,–,18,–
Security guards and gambling surveillance officers,91,–,–,–,–,15,–
Security guards,91,–,–,–,–,15,–
Food preparation and serving related occupations,123,56,6,–,15,43,–
Supervisors of food preparation and serving workers,28,13,4,–,–,11,–
Supervisors of food preparation and serving workers,28,13,4,–,–,11,–
Chefs and head cooks,9,–,–,–,–,6,–
First-line supervisors of food preparation and serving workers,19,–,–,–,–,5,–
Cooks and food preparation workers,40,15,–,–,9,13,–
Cooks,30,10,–,–,6,–,–
"Cooks, fast food",10,4,–,–,–,–,–
"Cooks, institution and cafeteria",4,–,–,–,–,–,–
"Cooks, restaurant",12,4,–,–,3,–,–
Food preparation workers,10,5,–,–,3,–,–
Food preparation workers,10,5,–,–,3,–,–
Food and beverage serving workers,43,25,–,–,–,13,–
Fast food and counter workers,28,18,–,–,–,–,–
Fast food and counter workers,28,18,–,–,–,–,–
Waiters and waitresses,8,–,–,–,–,3,–
Waiters and waitresses,8,–,–,–,–,3,–
Other food preparation and serving related workers,12,3,–,–,–,6,–
Dishwashers,7,–,–,–,–,–,–
Dishwashers,7,–,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,352,25,93,4,93,79,58
Supervisors of building and grounds cleaning and maintenance workers,56,–,12,–,13,5,19
First-line supervisors of building and grounds cleaning and maintenance workers,56,–,12,–,13,5,19
First-line supervisors of housekeeping and janitorial workers,9,–,1,–,5,–,–
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",47,–,11,–,8,–,19
Building cleaning and pest control workers,74,10,9,–,20,26,9
Building cleaning workers,66,10,–,–,–,22,9
"Janitors and cleaners, except maids and housekeeping cleaners",50,–,–,–,–,15,7
Maids and housekeeping cleaners,12,–,–,–,–,7,–
Pest control workers,8,–,–,–,–,4,–
Pest control workers,8,–,–,–,–,4,–
Grounds maintenance workers,222,–,72,–,60,48,30
Grounds maintenance workers,222,–,72,–,60,48,30
Landscaping and groundskeeping workers,137,–,61,–,27,30,11
Tree trimmers and pruners,74,–,–,–,32,15,19
Personal care and service occupations,61,19,13,–,7,18,–
Supervisors of personal care and service workers,4,–,–,–,–,–,–
Animal care and service workers,11,5,–,–,–,4,–
Animal trainers,4,–,–,–,–,–,–
Animal trainers,4,–,–,–,–,–,–
Animal caretakers,7,–,–,–,–,–,–
Animal caretakers,7,–,–,–,–,–,–
Entertainment attendants and related workers,9,–,4,–,–,–,–
Miscellaneous entertainment attendants and related workers,6,–,–,–,–,–,–
Amusement and recreation attendants,6,–,–,–,–,–,–
Personal appearance workers,10,6,–,–,–,–,–
Tour and travel guides,9,3,–,–,–,–,–
Tour and travel guides,9,3,–,–,–,–,–
Tour guides and escorts,6,–,–,–,–,–,–
Travel guides,3,–,–,–,–,–,–
Other personal care and service workers,14,–,4,–,–,6,–
Childcare workers,4,–,–,–,–,1,–
Childcare workers,4,–,–,–,–,1,–
Recreation and fitness workers,6,–,–,–,–,3,–
Recreation workers,5,–,–,–,–,3,–
Sales and related occupations,212,106,33,–,29,36,5
Supervisors of sales workers,67,38,12,–,6,7,–
First-line supervisors of sales workers,67,38,12,–,6,7,–
First-line supervisors of retail sales workers,59,35,9,–,–,–,–
First-line supervisors of non-retail sales workers,8,3,3,–,–,–,–
Retail sales workers,112,60,–,–,17,25,–
Cashiers,67,42,–,–,–,18,–
Cashiers,67,42,–,–,–,18,–
Counter and rental clerks and parts salespersons,5,–,–,–,–,–,–
Retail salespersons,40,–,–,–,–,7,–
Retail salespersons,40,–,–,–,–,7,–
"Sales representatives, services",9,–,3,–,–,–,–
"Miscellaneous sales representatives, services",5,–,–,–,–,–,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",5,–,–,–,–,–,–
"Sales representatives, wholesale and manufacturing",9,–,5,–,–,–,–
"Sales representatives, wholesale and manufacturing",9,–,5,–,–,–,–
"Sales representatives, wholesale and manufacturing, technical and scientific products",4,–,–,–,–,–,–
"Sales representatives, wholesale and manufacturing, except technical and scientific products",5,–,–,–,–,–,–
Other sales and related workers,15,5,4,–,3,–,–
"Models, demonstrators, and product promoters",1,–,–,–,–,–,–
Models,1,–,–,–,–,–,–
Real estate brokers and sales agents,6,3,–,–,–,–,–
Real estate brokers,3,–,–,–,–,–,–
Real estate sales agents,3,–,–,–,–,–,–
Miscellaneous sales and related workers,6,–,–,–,–,–,–
Office and administrative support occupations,82,26,25,–,–,15,–
Supervisors of office and administrative support workers,5,–,–,–,–,–,–
First-line supervisors of office and administrative support workers,5,–,–,–,–,–,–
First-line supervisors of office and administrative support workers,5,–,–,–,–,–,–
Information and record clerks,13,7,–,–,–,–,–
Customer service representatives,7,3,–,–,–,–,–
Customer service representatives,7,3,–,–,–,–,–
"Material recording, scheduling, dispatching, and distributing workers",43,7,19,–,–,8,–
Couriers and messengers,8,–,–,–,–,–,–
Couriers and messengers,8,–,–,–,–,–,–
"Shipping, receiving, and inventory clerks",11,4,–,–,–,–,–
"Shipping, receiving, and inventory clerks",11,4,–,–,–,–,–
Secretaries and administrative assistants,5,–,–,–,–,–,–
Secretaries and administrative assistants,5,–,–,–,–,–,–
Other office and administrative support workers,10,–,–,–,–,–,–
"Office clerks, general",5,–,–,–,–,–,–
"Office clerks, general",5,–,–,–,–,–,–
"Farming, fishing, and forestry occupations",223,21,83,–,–,21,80
"Supervisors of farming, fishing, and forestry workers",6,–,3,–,–,–,–
"First-line supervisors of farming, fishing, and forestry workers",6,–,3,–,–,–,–
"First-line supervisors of farming, fishing, and forestry workers",6,–,3,–,–,–,–
Agricultural workers,146,18,66,–,–,13,34
Miscellaneous agricultural workers,146,18,66,–,–,13,34
Agricultural equipment operators,11,–,5,–,–,–,3
"Farmworkers and laborers, crop, nursery, and greenhouse",80,7,44,–,–,4,16
"Farmworkers, farm, ranch, and aquacultural animals",52,9,17,–,–,–,15
Fishing and hunting workers,16,–,8,–,–,–,–
Fishing and hunting workers,16,–,8,–,–,–,–
Fishing and hunting workers,16,–,8,–,–,–,–
"Forest, conservation, and logging workers",55,–,6,–,–,–,43
Logging workers,54,–,6,–,–,–,43
Fallers,29,–,–,–,–,–,–
Logging equipment operators,10,–,3,–,–,–,5
Construction and extraction occupations,1056,47,204,20,423,191,169
Supervisors of construction and extraction workers,113,9,24,3,36,21,20
First-line supervisors of construction trades and extraction workers,113,9,24,3,36,21,20
First-line supervisors of construction trades and extraction workers,113,9,24,3,36,21,20
Construction trades workers,811,33,132,–,366,155,113
"Brickmasons, blockmasons, and stonemasons",14,–,–,–,11,–,–
Carpenters,95,7,8,–,52,20,8
Carpenters,95,7,8,–,52,20,8
"Carpet, floor, and tile installers and finishers",8,–,–,–,3,3,–
"Floor layers, except carpet, wood, and hard tiles",4,–,–,–,–,–,–
"Cement masons, concrete finishers, and terrazzo workers",20,–,9,–,–,–,6
Cement masons and concrete finishers,20,–,9,–,–,–,6
Construction laborers,320,14,56,–,119,62,62
Construction laborers,320,14,56,–,119,62,62
Construction equipment operators,47,–,19,–,5,6,14
Operating engineers and other construction equipment operators,38,–,–,–,–,–,11
"Drywall installers, ceiling tile installers, and tapers",11,–,–,–,9,–,–
Drywall and ceiling tile installers,11,–,–,–,9,–,–
Electricians,75,–,12,–,21,32,4
Electricians,75,–,12,–,21,32,4
Insulation workers,6,–,3,–,–,–,–
"Insulation workers, floor, ceiling, and wall",6,–,3,–,–,–,–
Painters and paperhangers,38,–,6,–,23,6,–
"Painters, construction and maintenance",37,–,–,–,23,6,–
Paperhangers,1,–,–,–,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",37,–,–,–,7,9,14
Pipelayers,8,–,–,–,–,–,–
"Plumbers, pipefitters, and steamfitters",29,–,–,–,7,9,–
Plasterers and stucco masons,4,–,–,–,4,–,–
Plasterers and stucco masons,4,–,–,–,4,–,–
Roofers,105,–,7,–,90,6,–
Roofers,105,–,7,–,90,6,–
Sheet metal workers,8,–,–,–,4,4,–
Sheet metal workers,8,–,–,–,4,4,–
Structural iron and steel workers,14,–,–,–,9,–,–
Structural iron and steel workers,14,–,–,–,9,–,–
Solar photovoltaic installers,5,–,–,–,–,–,–
Solar photovoltaic installers,5,–,–,–,–,–,–
"Helpers, construction trades",20,–,–,–,7,7,–
"Helpers, construction trades",20,–,–,–,7,7,–
Helpers--electricians,7,–,–,–,–,–,–
